satellite_position_km,nadir_surface_echo_m,offnadir_surface_echo_apparent_depth_m,offnadir_extra_two_way_delay_us
-35.200,0.000000,1305.226309,15.499408
-35.000,0.000000,1295.423482,15.383001
-34.800,0.000000,1285.676090,15.267252
-34.600,0.000000,1275.984140,15.152161
-34.400,0.000000,1266.347639,15.037729
-34.200,0.000000,1256.766595,14.923955
-34.000,0.000000,1247.241015,14.810840
-33.800,0.000000,1237.770904,14.698383
-33.600,0.000000,1228.356272,14.586586
-33.400,0.000000,1218.997123,14.475447
-33.200,0.000000,1209.693466,14.364967
-33.000,0.000000,1200.445307,14.255146
-32.800,0.000000,1191.252653,14.145984
-32.600,0.000000,1182.115511,14.037482
-32.400,0.000000,1173.033887,13.929639
-32.200,0.000000,1164.007788,13.822455
-32.000,0.000000,1155.037221,13.715930
-31.800,0.000000,1146.122193,13.610066
-31.600,0.000000,1137.262709,13.504860
-31.400,0.000000,1128.458777,13.400315
-31.200,0.000000,1119.710403,13.296429
-31.000,0.000000,1111.017594,13.193203
-30.800,0.000000,1102.380355,13.090636
-30.600,0.000000,1093.798694,12.988730
-30.400,0.000000,1085.272616,12.887484
-30.200,0.000000,1076.802129,12.786898
-30.000,0.000000,1068.387237,12.686972
-29.800,0.000000,1060.027948,12.587707
-29.600,0.000000,1051.724268,12.489101
-29.400,0.000000,1043.476202,12.391157
-29.200,0.000000,1035.283757,12.293872
-29.000,0.000000,1027.146938,12.197248
-28.800,0.000000,1019.065753,12.101285
-28.600,0.000000,1011.040207,12.005983
-28.400,0.000000,1003.070305,11.911341
-28.200,0.000000,995.156054,11.817361
-28.000,0.000000,987.297459,11.724041
-27.800,0.000000,979.494527,11.631382
-27.600,0.000000,971.747263,11.539384
-27.400,0.000000,964.055673,11.448047
-27.200,0.000000,956.419762,11.357372
-27.000,0.000000,948.839537,11.267357
-26.800,0.000000,941.315002,11.178004
-26.600,0.000000,933.846164,11.089313
-26.400,0.000000,926.433028,11.001283
-26.200,0.000000,919.075599,10.913914
-26.000,0.000000,911.773883,10.827207
-25.800,0.000000,904.527885,10.741162
-25.600,0.000000,897.337611,10.655778
-25.400,0.000000,890.203065,10.571056
-25.200,0.000000,883.124254,10.486996
-25.000,0.000000,876.101183,10.403598
-24.800,0.000000,869.133856,10.320862
-24.600,0.000000,862.222279,10.238788
-24.400,0.000000,855.366457,10.157376
-24.200,0.000000,848.566395,10.076626
-24.000,0.000000,841.822098,9.996538
-23.800,0.000000,835.133571,9.917112
-23.600,0.000000,828.500820,9.838349
-23.400,0.000000,821.923848,9.760249
-23.200,0.000000,815.402661,9.682810
-23.000,0.000000,808.937264,9.606034
-22.800,0.000000,802.527661,9.529921
-22.600,0.000000,796.173858,9.454470
-22.400,0.000000,789.875859,9.379682
-22.200,0.000000,783.633668,9.305557
-22.000,0.000000,777.447291,9.232095
-21.800,0.000000,771.316731,9.159295
-21.600,0.000000,765.241994,9.087158
-21.400,0.000000,759.223084,9.015684
-21.200,0.000000,753.260005,8.944874
-21.000,0.000000,747.352763,8.874726
-20.800,0.000000,741.501360,8.805241
-20.600,0.000000,735.705802,8.736419
-20.400,0.000000,729.966093,8.668261
-20.200,0.000000,724.282237,8.600766
-20.000,0.000000,718.654239,8.533934
-19.800,0.000000,713.082102,8.467766
-19.600,0.000000,707.565830,8.402261
-19.400,0.000000,702.105429,8.337419
-19.200,0.000000,696.700901,8.273241
-19.000,0.000000,691.352252,8.209726
-18.800,0.000000,686.059484,8.146875
-18.600,0.000000,680.822602,8.084688
-18.400,0.000000,675.641610,8.023164
-18.200,0.000000,670.516511,7.962304
-18.000,0.000000,665.447309,7.902108
-17.800,0.000000,660.434009,7.842576
-17.600,0.000000,655.476614,7.783707
-17.400,0.000000,650.575127,7.725503
-17.200,0.000000,645.729553,7.667962
-17.000,0.000000,640.939894,7.611085
-16.800,0.000000,636.206154,7.554873
-16.600,0.000000,631.528338,7.499324
-16.400,0.000000,626.906448,7.444440
-16.200,0.000000,622.340488,7.390220
-16.000,0.000000,617.830461,7.336664
-15.800,0.000000,613.376370,7.283772
-15.600,0.000000,608.978220,7.231544
-15.400,0.000000,604.636012,7.179981
-15.200,0.000000,600.349751,7.129082
-15.000,0.000000,596.119440,7.078848
-14.800,0.000000,591.945081,7.029278
-14.600,0.000000,587.826679,6.980372
-14.400,0.000000,583.764235,6.932131
-14.200,0.000000,579.757753,6.884555
-14.000,0.000000,575.807236,6.837643
-13.800,0.000000,571.912687,6.791396
-13.600,0.000000,568.074109,6.745813
-13.400,0.000000,564.291505,6.700895
