column,spacecraft_lon_deg,spacecraft_lat_deg,spacecraft_height_m,nadir_height_m,nadir_line,nadir_areoid_radius_m,nadir_ellipsoid_radius_m
4366,1.822638,75.875577,316187.235,-2968.0,2657.0,3379254.0,3377407.036
4367,1.816222,75.867959,316185.252,-2968.0,2657.0,3379255.0,3377408.311
4368,1.809813,75.860341,316183.267,-2972.0,2657.0,3379256.0,3377409.586
4369,1.803452,75.852774,316181.295,-2974.0,2658.0,3379257.0,3377410.854
4370,1.797055,75.845155,316179.308,-2971.0,2657.0,3379258.0,3377412.131
4371,1.790707,75.837587,316177.334,-2970.0,2657.0,3379259.0,3377413.399
4372,1.784322,75.829968,316175.344,-2969.0,2657.0,3379260.0,3377414.677
4373,1.777986,75.822401,316173.368,-2969.0,2657.0,3379261.0,3377415.947
4374,1.771613,75.814781,316171.376,-2969.0,2657.0,3379262.0,3377417.227
4375,1.765289,75.807213,316169.397,-2967.0,2656.0,3379264.0,3377418.498
4376,1.758928,75.799594,316167.403,-2965.0,2656.0,3379265.0,3377419.779
4377,1.752615,75.792025,316165.421,-2963.0,2656.0,3379265.0,3377421.051
4378,1.746267,75.784405,316163.425,-2963.0,2655.0,3379267.0,3377422.333
4379,1.739966,75.776837,316161.441,-2964.0,2656.0,3379268.0,3377423.607
4380,1.733629,75.769217,316159.443,-2967.0,2656.0,3379269.0,3377424.891
4381,1.727341,75.761647,316157.457,-2973.0,2657.0,3379270.0,3377426.166
4382,1.721016,75.754027,316155.456,-2976.0,2657.0,3379270.0,3377427.45
4383,1.714739,75.746458,316153.468,-2979.0,2658.0,3379272.0,3377428.727
4384,1.708426,75.738837,316151.464,-2982.0,2659.0,3379272.0,3377430.013
4385,1.702162,75.731267,316149.474,-2981.0,2659.0,3379274.0,3377431.291
4386,1.695861,75.723646,316147.468,-2981.0,2658.0,3379275.0,3377432.578
4387,1.689608,75.716076,316145.475,-2983.0,2659.0,3379276.0,3377433.857
4388,1.683318,75.708455,316143.467,-2980.0,2658.0,3379277.0,3377435.145
4389,1.677077,75.700885,316141.472,-2979.0,2658.0,3379279.0,3377436.426
4390,1.670799,75.693263,316139.462,-2979.0,2658.0,3379280.0,3377437.715
4391,1.66457,75.685692,316137.464,-2980.0,2658.0,3379281.0,3377438.997
4392,1.658304,75.678071,316135.451,-2980.0,2658.0,3379282.0,3377440.288
4393,1.652086,75.6705,316133.451,-2980.0,2658.0,3379283.0,3377441.571
