offset_line_below_nadir,approx_free_space_range_below_nadir_m,surface_along_track_offset_km,surface_doppler_hz,folded_doppler_hz,inside_center_doppler_band
285,4275.0,52.20164108276367,73.03641510009766,-14.498588562011719,False
286,4290.0,52.293758392333984,73.16188049316406,-14.373123168945312,False
287,4305.0,52.385711669921875,73.28710174560547,-14.247901916503906,False
288,4320.0,52.47758102416992,73.41218566894531,-14.122817993164062,False
289,4335.0,52.569210052490234,73.53694152832031,-13.998062133789062,False
290,4350.0,52.660682678222656,73.66145324707031,-13.873550415039062,False
291,4365.0,52.75199508666992,73.78572845458984,-13.749275207519531,False
292,4380.0,52.843231201171875,73.90989685058594,-13.625106811523438,False
293,4395.0,52.93423080444336,74.03370666503906,-13.501296997070312,False
294,4410.0,53.025150299072266,74.15740203857422,-13.377601623535156,False
295,4425.0,53.11583709716797,74.28076171875,-13.254241943359375,False
296,4440.0,53.206443786621094,74.40399932861328,-13.131004333496094,False
297,4455.0,53.29682540893555,74.52689361572266,-13.008110046386719,False
298,4470.0,53.387123107910156,74.64968872070312,-12.88531494140625,False
299,4485.0,53.47727584838867,74.77224731445312,-12.76275634765625,False
300,4500.0,53.567195892333984,74.89447021484375,-12.640533447265625,False
301,4515.0,53.65704345703125,75.01658630371094,-12.518417358398438,False
302,4530.0,53.746742248535156,75.13848876953125,-12.396514892578125,False
303,4545.0,53.83628845214844,75.2601547241211,-12.274848937988281,False
304,4560.0,53.92568588256836,75.38160705566406,-12.153396606445312,False
305,4575.0,54.01493835449219,75.50283813476562,-12.03216552734375,False
306,4590.0,54.104042053222656,75.62386322021484,-11.911140441894531,False
307,4605.0,54.19307327270508,75.74476623535156,-11.790237426757812,False
308,4620.0,54.28188705444336,75.8653564453125,-11.669647216796875,False
309,4635.0,54.37055206298828,75.98572540283203,-11.549278259277344,False
310,4650.0,54.459075927734375,76.10588836669922,-11.429115295410156,False
311,4665.0,54.54752731323242,76.22594451904297,-11.309059143066406,False
312,4680.0,54.63576126098633,76.34567260742188,-11.1893310546875,False
313,4695.0,54.72393035888672,76.4653091430664,-11.069694519042969,False
314,4710.0,54.8118782043457,76.58463287353516,-10.950370788574219,False
315,4725.0,54.89976501464844,76.70384216308594,-10.831161499023438,False
316,4740.0,54.987510681152344,76.82284545898438,-10.712158203125,False
317,4755.0,55.07503890991211,76.94154357910156,-10.593460083007812,False
318,4770.0,55.16250228881836,77.06014251708984,-10.474861145019531,False
319,4785.0,55.24983215332031,77.17852783203125,-10.356475830078125,False
320,4800.0,55.3370246887207,77.29671478271484,-10.238288879394531,False
321,4815.0,55.424076080322266,77.41470336914062,-10.12030029296875,False
322,4830.0,55.510990142822266,77.53248596191406,-10.002517700195312,False
323,4845.0,55.59777069091797,77.65006256103516,-9.884941101074219,False
324,4860.0,55.68441390991211,77.76744842529297,-9.767555236816406,False
325,4875.0,55.77092361450195,77.88462829589844,-9.650375366210938,False
326,4890.0,55.8572998046875,78.00161743164062,-9.53338623046875,False
327,4905.0,55.9436149597168,78.1185073852539,-9.416496276855469,False
328,4920.0,56.029727935791016,78.23509979248047,-9.299903869628906,False
329,4935.0,56.11570358276367,78.35148620605469,-9.183517456054688,False
330,4950.0,56.201622009277344,78.4677963256836,-9.067207336425781,False
331,4965.0,56.28733444213867,78.58380889892578,-8.951194763183594,False
332,4980.0,56.37299346923828,78.69972229003906,-8.835281372070312,False
333,4995.0,56.45845031738281,78.81534576416016,-8.719657897949219,False
334,5010.0,56.543846130371094,78.93087768554688,-8.6041259765625,False
335,5025.0,56.62911605834961,79.04621887207031,-8.488784790039062,False
336,5040.0,56.714256286621094,79.16136932373047,-8.373634338378906,False
337,5055.0,56.799198150634766,79.27623748779297,-8.258766174316406,False
338,5070.0,56.88408660888672,79.39100646972656,-8.143997192382812,False
339,5085.0,56.96884536743164,79.5055923461914,-8.029411315917969,False
340,5100.0,57.0534782409668,79.62000274658203,-7.915000915527344,False
341,5115.0,57.13798904418945,79.73421478271484,-7.800788879394531,False
342,5130.0,57.22237014770508,79.84825134277344,-7.6867523193359375,False
343,5145.0,57.30670166015625,79.96220397949219,-7.5727996826171875,False
344,5160.0,57.390838623046875,80.07585906982422,-7.459144592285156,False
345,5175.0,57.474849700927734,80.18934631347656,-7.3456573486328125,False
346,5190.0,57.55874252319336,80.3026351928711,-7.232368469238281,False
347,5205.0,57.642578125,80.41585540771484,-7.119148254394531,False
348,5220.0,57.726226806640625,80.52880096435547,-7.006202697753906,False
349,5235.0,57.8098258972168,80.64165496826172,-6.893348693847656,False
350,5250.0,57.893226623535156,80.75424194335938,-6.78076171875,False
351,5265.0,57.97658157348633,80.86673736572266,-6.668266296386719,False
352,5280.0,58.05974578857422,80.97895812988281,-6.5560455322265625,False
353,5295.0,58.14286422729492,81.09111785888672,-6.443885803222656,False
354,5310.0,58.22586441040039,81.20309448242188,-6.3319091796875,False
355,5325.0,58.30874252319336,81.31488800048828,-6.220115661621094,False
356,5340.0,58.391502380371094,81.426513671875,-6.108489990234375,False
357,5355.0,58.47414779663086,81.53795623779297,-5.997047424316406,False
358,5370.0,58.55667495727539,81.64923095703125,-5.885772705078125,False
359,5385.0,58.63909149169922,81.76033782958984,-5.774665832519531,False
360,5400.0,58.72138595581055,81.87126922607422,-5.663734436035156,False
361,5415.0,58.803565979003906,81.98202514648438,-5.552978515625,False
362,5430.0,58.8856315612793,82.09260559082031,-5.4423980712890625,False
363,5445.0,58.967586517333984,82.20304107666016,-5.331962585449219,False
364,5460.0,59.049495697021484,82.31338500976562,-5.22161865234375,False
365,5475.0,59.13121795654297,82.42346954345703,-5.111534118652344,False
366,5490.0,59.212833404541016,82.53338623046875,-5.001617431640625,False
367,5505.0,59.294403076171875,82.64323425292969,-4.8917694091796875,False
368,5520.0,59.375789642333984,82.7528076171875,-4.782196044921875,False
369,5535.0,59.45713806152344,82.86233520507812,-4.67266845703125,False
370,5550.0,59.53837203979492,82.9716796875,-4.563323974609375,False
371,5565.0,59.61942672729492,83.08076477050781,-4.4542388916015625,False
372,5580.0,59.700443267822266,83.1897964477539,-4.345207214355469,False
373,5595.0,59.78134536743164,83.29864501953125,-4.236358642578125,False
374,5610.0,59.86214065551758,83.40734100341797,-4.127662658691406,False
375,5625.0,59.94282531738281,83.51587677001953,-4.019126892089844,False
376,5640.0,60.02340316772461,83.62425231933594,-3.9107513427734375,False
377,5655.0,60.1038703918457,83.73246002197266,-3.8025436401367188,False
378,5670.0,60.184234619140625,83.84050750732422,-3.6944961547851562,False
379,5685.0,60.264488220214844,83.94840240478516,-3.5866012573242188,False
380,5700.0,60.344635009765625,84.0561294555664,-3.4788742065429688,False
381,5715.0,60.42467498779297,84.16370391845703,-3.3712997436523438,False
382,5730.0,60.50468063354492,84.27122497558594,-3.2637786865234375,False
383,5745.0,60.584510803222656,84.37848663330078,-3.1565093994140625,False
384,5760.0,60.66423416137695,84.48558044433594,-3.0494232177734375,False
385,5775.0,60.74392318725586,84.5926284790039,-2.9423675537109375,False
386,5790.0,60.82344055175781,84.69942474365234,-2.8355865478515625,False
387,5805.0,60.90291976928711,84.80615234375,-2.728851318359375,False
388,5820.0,60.98222732543945,84.91264343261719,-2.6223602294921875,False
389,5835.0,61.061500549316406,85.0190658569336,-2.5159454345703125,False
390,5850.0,61.14067077636719,85.12533569335938,-2.40966796875,False
391,5865.0,61.2197380065918,85.23145294189453,-2.3035430908203125,False
392,5880.0,61.298702239990234,85.3374252319336,-2.1975860595703125,False
393,5895.0,61.377498626708984,85.44314575195312,-2.09185791015625,False
394,5910.0,61.45626449584961,85.54881286621094,-1.9861907958984375,False
395,5925.0,61.53492736816406,85.65433502197266,-1.8806610107421875,False
396,5940.0,61.613487243652344,85.75969696044922,-1.7753143310546875,False
397,5955.0,61.6920166015625,85.86500549316406,-1.6699981689453125,False
398,5970.0,61.77037811279297,85.97007751464844,-1.5649261474609375,False
399,5985.0,61.84864044189453,86.07499694824219,-1.4600067138671875,False
400,6000.0,61.92680358886719,86.17977142333984,-1.3552398681640625,False
401,6015.0,62.00493621826172,86.28450012207031,-1.2505035400390625,False
402,6030.0,62.08290100097656,86.38896942138672,-1.1460418701171875,False
403,6045.0,62.16083908081055,86.49339294433594,-1.0416107177734375,False
404,6060.0,62.238609313964844,86.59758758544922,-0.9374237060546875,False
405,6075.0,62.31635284423828,86.70172119140625,-0.833282470703125,False
406,6090.0,62.39392852783203,86.80561828613281,-0.7293853759765625,False
407,6105.0,62.47147750854492,86.90946197509766,-0.6255340576171875,False
