position_km,normal_altitude_km,ascending_altitude_km,descending_altitude_km,normal_radial_velocity_m_s,ascending_radial_velocity_m_s,descending_radial_velocity_m_s,normal_vhf_doppler_hz,ascending_vhf_doppler_hz,descending_vhf_doppler_hz,normal_hf_doppler_hz,ascending_hf_doppler_hz,descending_hf_doppler_hz
-14.400,400.000000,398.200000,401.800000,-143.626893,354.420044,-641.702802,57.450757,-141.768018,256.681121,8.626240,-21.286489,38.540709
-14.200,400.000000,398.225000,401.775000,-141.634594,356.439276,-639.736720,56.653838,-142.575710,255.894688,8.506582,-21.407764,38.422626
-14.000,400.000000,398.250000,401.750000,-139.642189,358.458236,-637.770170,55.856876,-143.383295,255.108068,8.386918,-21.529023,38.304515
-13.800,400.000000,398.275000,401.725000,-137.649680,360.476925,-635.803153,55.059872,-144.190770,254.321261,8.267248,-21.650266,38.186376
-13.600,400.000000,398.300000,401.700000,-135.657068,362.495341,-633.835670,54.262827,-144.998136,253.534268,8.147572,-21.771492,38.068208
-13.400,400.000000,398.325000,401.675000,-133.664356,364.513482,-631.867723,53.465742,-145.805393,252.747089,8.027889,-21.892702,37.950013
-13.200,400.000000,398.350000,401.650000,-131.671544,366.531347,-629.899312,52.668617,-146.612539,251.959725,7.908201,-22.013895,37.831791
-13.000,400.000000,398.375000,401.625000,-129.678633,368.548933,-627.930439,51.871453,-147.419573,251.172176,7.788506,-22.135071,37.713540
-12.800,400.000000,398.400000,401.600000,-127.685626,370.566241,-625.961106,51.074250,-148.226496,250.384442,7.668806,-22.256231,37.595262
-12.600,400.000000,398.425000,401.575000,-125.692524,372.583268,-623.991313,50.277009,-149.033307,249.596525,7.549101,-22.377373,37.476956
-12.400,400.000000,398.450000,401.550000,-123.699328,374.600012,-622.021062,49.479731,-149.840005,248.808425,7.429389,-22.498499,37.358622
-12.200,400.000000,398.475000,401.525000,-121.706039,376.616473,-620.050354,48.682416,-150.646589,248.020142,7.309672,-22.619608,37.240262
-12.000,400.000000,398.500000,401.500000,-119.712660,378.632649,-618.079191,47.885064,-151.453060,247.231676,7.189950,-22.740700,37.121873
-11.800,400.000000,398.525000,401.475000,-117.719192,380.648538,-616.107574,47.087677,-152.259415,246.443030,7.070222,-22.861774,37.003458
-11.600,400.000000,398.550000,401.450000,-115.725636,382.664139,-614.135504,46.290254,-153.065656,245.654202,6.950489,-22.982831,36.885015
-11.400,400.000000,398.575000,401.425000,-113.731994,384.679450,-612.162982,45.492797,-153.871780,244.865193,6.830750,-23.103871,36.766545
-11.200,400.000000,398.600000,401.400000,-111.738266,386.694471,-610.190011,44.695307,-154.677788,244.076004,6.711007,-23.224893,36.648049
-11.000,400.000000,398.625000,401.375000,-109.744456,388.709199,-608.216590,43.897782,-155.483679,243.286636,6.591259,-23.345898,36.529525
