band,frequency_mhz,wavelength_m,altitude_km,depth_km,look_angle_deg,doppler_edge_hz,min_prf_hz,max_prf_hz,two_way_us,listen_window_us,usable
HF,9.0,33.31027311111111,25.0,19.25,65.04956165042753,250.41499190127274,626.0374797531819,1638.3410549337975,395.37352203836963,610.3735220383696,True
HF,9.0,33.31027311111111,25.0,19.5,65.24806945384974,250.81713941327044,627.0428485331761,1630.4110995965257,398.34224248563316,613.3422424856332,True
HF,9.0,33.31027311111111,25.0,19.75,65.44333070151794,251.2097726698889,628.0244316747222,1622.5575401761578,401.3109629328967,616.3109629328967,True
HF,9.0,33.31027311111111,25.0,20.0,65.63542730532548,251.5931954174869,628.9829885437173,1614.7792779859774,404.2796833801603,619.2796833801603,True
HF,9.0,33.31027311111111,25.0,20.25,65.82443834418686,251.96769912193756,629.9192478048438,1607.0752353064179,407.24840382742383,622.2484038274238,True
HF,9.0,33.31027311111111,25.0,20.5,66.01044018977404,252.3335635727533,630.8339089318832,1599.4443548872675,410.21712427468736,625.2171242746874,True
HF,9.0,33.31027311111111,25.0,20.75,66.19350662539426,252.69105745203532,631.7276436300883,1591.8855994639966,413.18584472195096,628.185844721951,True
HF,9.0,33.31027311111111,25.0,21.0,66.3737089584552,253.0404388706221,632.6010971765552,1584.3979512877277,416.1545651692145,631.1545651692145,True
HF,9.0,33.31027311111111,25.0,21.25,66.5511161269293,253.38195587362966,633.4548896840741,1576.9804116684127,419.12328561647803,634.123285616478,True
HF,9.0,33.31027311111111,25.0,21.5,66.72579480019851,253.71584691740804,634.2896172935201,1569.6320005307823,422.0920060637416,637.0920060637416,True
HF,9.0,33.31027311111111,25.0,21.75,66.89780947463211,254.04234131978586,635.1058532994647,1562.3517559826505,425.06072651100516,640.0607265110052,True
HF,9.0,33.31027311111111,25.0,22.0,67.06722256422545,254.36165968533618,635.9041492133405,1555.1387338951802,428.02944695826875,643.0294469582687,True
HF,9.0,33.31027311111111,25.0,22.25,67.23409448660249,254.6740143072668,636.6850357681669,1547.99200749472,430.9981674055323,645.9981674055323,True
HF,9.0,33.31027311111111,25.0,22.5,67.39848374466489,254.97960954742277,637.4490238685569,1540.9106669658445,433.9668878527958,648.9668878527958,True
HF,9.0,33.31027311111111,25.0,22.75,67.56044700414895,255.2786421957802,638.1966054894506,1533.8938190652425,436.93560830005936,651.9356083000594,True
HF,9.0,33.31027311111111,25.0,23.0,67.72003916733463,255.57130181071105,638.9282545267777,1526.940586746103,439.9043287473229,654.9043287473229,True
HF,9.0,33.31027311111111,25.0,23.25,67.87731344313312,255.8577710412086,639.6444276030215,1520.050108792675,442.8730491945865,657.8730491945864,True
HF,9.0,33.31027311111111,25.0,23.5,68.03232141376473,256.1382259321794,640.3455648304486,1513.2215394646742,445.84176964185,660.8417696418501,True
HF,9.0,33.31027311111111,25.0,23.75,68.18511309822361,256.41283621382894,641.0320905345724,1506.4540481512345,448.81049008911356,663.8104900891135,True
HF,9.0,33.31027311111111,25.0,24.0,68.33573701271365,256.6817655761,641.7044139402501,1499.7468190340999,451.77921053637715,666.7792105363771,True
HF,9.0,33.31027311111111,25.0,24.25,68.48424022822668,256.9451719290548,642.362929822637,1493.0990507597792,454.7479309836407,669.7479309836407,True
HF,9.0,33.31027311111111,25.0,24.5,68.63066842542362,257.20320765003146,643.0080191250786,1486.5099561203765,457.7166514309042,672.7166514309042,True
HF,9.0,33.31027311111111,25.0,24.75,68.77506594696843,257.4560198183518,643.6400495458795,1479.978761742838,460.6853718781678,675.6853718781679,True
HF,9.0,33.31027311111111,25.0,25.0,68.91747584745494,257.70375043830364,644.2593760957591,1473.5047077863571,463.65409232543135,678.6540923254313,True
