column,usrdr_deep_energy_db,usrdr_robust_z,rdr_complex_deep_energy_db,rdr_complex_robust_z,edr_raw_deep_energy_db,combined_low_signal_score,low_signal_flag
203,-39.46952819824219,-0.5777094960212708,18.305585861206055,1.204533338546753,12.265996932983398,0.3134119212627411,False
204,-39.628116607666016,-0.6269415020942688,16.528270721435547,0.8176155686378479,12.144363403320312,0.09533703327178955,False
205,-39.04268264770508,-0.4451999068260193,14.46158504486084,0.3677023947238922,12.093087196350098,-0.03874875605106354,False
206,-39.21908950805664,-0.49996352195739746,12.699467658996582,-0.015906887128949165,12.235159873962402,-0.25793519616127014,False
207,-39.2519416809082,-0.5101621150970459,14.622203826904297,0.4026687741279602,12.274911880493164,-0.05374667048454285,False
208,-38.983028411865234,-0.42668092250823975,14.56828498840332,0.39093077182769775,12.275899887084961,-0.017875075340270996,False
209,-39.556522369384766,-0.604715883731842,14.451443672180176,0.36549463868141174,12.2151460647583,-0.11961062252521515,False
210,-39.305686950683594,-0.5268467664718628,17.48041343688965,1.0248950719833374,12.123924255371094,0.2490241527557373,False
211,-39.49230194091797,-0.5847793221473694,17.580211639404297,1.0466209650039673,12.135176658630371,0.23092082142829895,False
212,-39.627323150634766,-0.6266952157020569,17.135257720947266,0.9497553706169128,12.082758903503418,0.16153007745742798,False
213,-39.48170852661133,-0.5814907550811768,16.356325149536133,0.7801833748817444,12.134156227111816,0.09934630990028381,False
214,-39.70149230957031,-0.6497201919555664,16.404064178466797,0.7905761003494263,12.123924255371094,0.07042795419692993,False
215,-39.71051025390625,-0.6525197625160217,13.718579292297363,0.20595160126686096,12.00029182434082,-0.22328408062458038,False
216,-39.97319030761719,-0.7340658903121948,13.073274612426758,0.06547010689973831,12.144363403320312,-0.33429789543151855,False
217,-39.660400390625,-0.6369636654853821,14.213409423828125,0.31367507576942444,12.134156227111816,-0.16164429485797882,False
218,-39.911617279052734,-0.71495121717453,12.960408210754395,0.040899328887462616,12.144363403320312,-0.3370259404182434,False
219,-39.617549896240234,-0.6236612200737,13.346426010131836,0.1249345988035202,12.225164413452148,-0.24936330318450928,False
220,-39.283660888671875,-0.5200089812278748,11.132311820983887,-0.35707345604896545,12.009767532348633,-0.4385412335395813,False
221,-38.93330383300781,-0.4112444519996643,9.541263580322266,-0.703441321849823,12.154545783996582,-0.5573428869247437,False
222,-39.81550598144531,-0.6851145029067993,11.44887638092041,-0.28815799951553345,12.123924255371094,-0.4866362512111664,False
223,-39.027915954589844,-0.44061577320098877,9.820527076721191,-0.6426462531089783,12.11469554901123,-0.5416309833526611,False
224,-39.17414855957031,-0.4860120713710785,10.416321754455566,-0.5129430294036865,12.113670349121094,-0.4994775652885437,False
225,-38.869300842285156,-0.39137542247772217,9.891121864318848,-0.6272779107093811,12.062029838562012,-0.509326696395874,False
226,-38.874267578125,-0.392917275428772,10.514908790588379,-0.4914807975292206,12.144363403320312,-0.44219905138015747,False
227,-39.1497688293457,-0.4784436523914337,9.573336601257324,-0.6964591145515442,12.195038795471191,-0.5874513983726501,False
228,-39.85551071166992,-0.6975335478782654,10.352263450622559,-0.526888370513916,12.191650390625,-0.6122109889984131,False
229,-39.82640075683594,-0.6884967088699341,9.733821868896484,-0.6615217924118042,12.154545783996582,-0.6750092506408691,False
