x_km,z_km,dz_dx,dz_dt_km_s,range_km,dR_dt_m_s,vhf_doppler_hz,hf_doppler_hz
-14.400,400.230400,-0.032000000,-0.128000000,401.268904,-271.213369,108.485348,16.289091
-14.200,400.224044,-0.031555556,-0.126222222,401.255437,-267.453493,106.981397,16.063273
-14.000,400.217778,-0.031111111,-0.124444444,401.242158,-263.693325,105.477330,15.837437
-13.800,400.211600,-0.030666667,-0.122666667,401.229068,-259.932870,103.973148,15.611584
-13.600,400.205511,-0.030222222,-0.120888889,401.216165,-256.172130,102.468852,15.385714
-13.400,400.199511,-0.029777778,-0.119111111,401.203451,-252.411110,100.964444,15.159826
-13.200,400.193600,-0.029333333,-0.117333333,401.190924,-248.649815,99.459926,14.933923
-13.000,400.187778,-0.028888889,-0.115555556,401.178586,-244.888248,97.955299,14.708003
-12.800,400.182044,-0.028444444,-0.113777778,401.166435,-241.126413,96.450565,14.482067
-12.600,400.176400,-0.028000000,-0.112000000,401.154473,-237.364315,94.945726,14.256115
-12.400,400.170844,-0.027555556,-0.110222222,401.142699,-233.601958,93.440783,14.030148
-12.200,400.165378,-0.027111111,-0.108444444,401.131113,-229.839345,91.935738,13.804165
-12.000,400.160000,-0.026666667,-0.106666667,401.119715,-226.076480,90.430592,13.578167
-11.800,400.154711,-0.026222222,-0.104888889,401.108505,-222.313369,88.925348,13.352154
-11.600,400.149511,-0.025777778,-0.103111111,401.097483,-218.550014,87.420006,13.126127
-11.400,400.144400,-0.025333333,-0.101333333,401.086650,-214.786420,85.914568,12.900085
-11.200,400.139378,-0.024888889,-0.099555556,401.076005,-211.022592,84.409037,12.674030
-11.000,400.134444,-0.024444444,-0.097777778,401.065548,-207.258532,82.903413,12.447960
-10.800,400.129600,-0.024000000,-0.096000000,401.055279,-203.494246,81.397698,12.221877
-10.600,400.124844,-0.023555556,-0.094222222,401.045198,-199.729737,79.891895,11.995780
-10.400,400.120178,-0.023111111,-0.092444444,401.035306,-195.965009,78.386004,11.769670
-10.200,400.115600,-0.022666667,-0.090666667,401.025602,-192.200067,76.880027,11.543548
-10.000,400.111111,-0.022222222,-0.088888889,401.016086,-188.434915,75.373966,11.317412
-9.800,400.106711,-0.021777778,-0.087111111,401.006758,-184.669556,73.867823,11.091265
-9.600,400.102400,-0.021333333,-0.085333333,400.997619,-180.903995,72.361598,10.865105
-9.400,400.098178,-0.020888889,-0.083555556,400.988668,-177.138237,70.855295,10.638933
-9.200,400.094044,-0.020444444,-0.081777778,400.979905,-173.372284,69.348913,10.412750
-9.000,400.090000,-0.020000000,-0.080000000,400.971331,-169.606141,67.842456,10.186555
-8.800,400.086044,-0.019555556,-0.078222222,400.962945,-165.839812,66.335925,9.960349
-8.600,400.082178,-0.019111111,-0.076444444,400.954747,-162.073302,64.829321,9.734132
