position_km,normal_altitude_km,parabolic_altitude_km,parabolic_vertical_speed_km_s,normal_radial_velocity_m_s,parabolic_radial_velocity_m_s,normal_vhf_doppler_hz,parabolic_vhf_doppler_hz,normal_hf_doppler_hz,parabolic_hf_doppler_hz
8.800,400.000000,400.086044,0.078222,87.807463,165.839812,-35.122985,-66.335925,-5.273721,-9.960349
9.000,400.000000,400.090000,0.080000,89.802092,169.606141,-35.920837,-67.842456,-5.393519,-10.186555
9.200,400.000000,400.094044,0.081778,91.796655,173.372284,-36.718662,-69.348913,-5.513313,-10.412750
9.400,400.000000,400.098178,0.083556,93.791149,177.138237,-37.516459,-70.855295,-5.633102,-10.638933
9.600,400.000000,400.102400,0.085333,95.785573,180.903995,-38.314229,-72.361598,-5.752887,-10.865105
9.800,400.000000,400.106711,0.087111,97.779925,184.669556,-39.111970,-73.867823,-5.872668,-11.091265
10.000,400.000000,400.111111,0.088889,99.774205,188.434915,-39.909682,-75.373966,-5.992445,-11.317412
10.200,400.000000,400.115600,0.090667,101.768410,192.200067,-40.707364,-76.880027,-6.112217,-11.543548
10.400,400.000000,400.120178,0.092444,103.762539,195.965009,-41.505016,-78.386004,-6.231984,-11.769670
10.600,400.000000,400.124844,0.094222,105.756590,199.729737,-42.302636,-79.891895,-6.351747,-11.995780
10.800,400.000000,400.129600,0.096000,107.750563,203.494246,-43.100225,-81.397698,-6.471505,-12.221877
11.000,400.000000,400.134444,0.097778,109.744456,207.258532,-43.897782,-82.903413,-6.591259,-12.447960
11.200,400.000000,400.139378,0.099556,111.738266,211.022592,-44.695307,-84.409037,-6.711007,-12.674030
11.400,400.000000,400.144400,0.101333,113.731994,214.786420,-45.492797,-85.914568,-6.830750,-12.900085
11.600,400.000000,400.149511,0.103111,115.725636,218.550014,-46.290254,-87.420006,-6.950489,-13.126127
11.800,400.000000,400.154711,0.104889,117.719192,222.313369,-47.087677,-88.925348,-7.070222,-13.352154
12.000,400.000000,400.160000,0.106667,119.712660,226.076480,-47.885064,-90.430592,-7.189950,-13.578167
12.200,400.000000,400.165378,0.108444,121.706039,229.839345,-48.682416,-91.935738,-7.309672,-13.804165
12.400,400.000000,400.170844,0.110222,123.699328,233.601958,-49.479731,-93.440783,-7.429389,-14.030148
12.600,400.000000,400.176400,0.112000,125.692524,237.364315,-50.277009,-94.945726,-7.549101,-14.256115
12.800,400.000000,400.182044,0.113778,127.685626,241.126413,-51.074250,-96.450565,-7.668806,-14.482067
13.000,400.000000,400.187778,0.115556,129.678633,244.888248,-51.871453,-97.955299,-7.788506,-14.708003
13.200,400.000000,400.193600,0.117333,131.671544,248.649815,-52.668617,-99.459926,-7.908201,-14.933923
13.400,400.000000,400.199511,0.119111,133.664356,252.411110,-53.465742,-100.964444,-8.027889,-15.159826
13.600,400.000000,400.205511,0.120889,135.657068,256.172130,-54.262827,-102.468852,-8.147572,-15.385714
13.800,400.000000,400.211600,0.122667,137.649680,259.932870,-55.059872,-103.973148,-8.267248,-15.611584
14.000,400.000000,400.217778,0.124444,139.642189,263.693325,-55.856876,-105.477330,-8.386918,-15.837437
14.200,400.000000,400.224044,0.126222,141.634594,267.453493,-56.653838,-106.981397,-8.506582,-16.063273
14.400,400.000000,400.230400,0.128000,143.626893,271.213369,-57.450757,-108.485348,-8.626240,-16.289091
14.600,400.000000,400.236844,0.129778,145.619085,274.972949,-58.247634,-109.989179,-8.745891,-16.514892
14.800,400.000000,400.243378,0.131556,147.611169,278.732228,-59.044468,-111.492891,-8.865536,-16.740674
15.000,400.000000,400.250000,0.133333,149.603143,282.491203,-59.841257,-112.996481,-8.985174,-16.966439
15.200,400.000000,400.256711,0.135111,151.595005,286.249870,-60.638002,-114.499948,-9.104805,-17.192184
15.400,400.000000,400.263511,0.136889,153.586755,290.008225,-61.434702,-116.003290,-9.224430,-17.417911
15.600,400.000000,400.270400,0.138667,155.578390,293.766263,-62.231356,-117.506505,-9.344047,-17.643619
15.800,400.000000,400.277378,0.140444,157.569909,297.523981,-63.027964,-119.009592,-9.463658,-17.869308
16.000,400.000000,400.284444,0.142222,159.561311,301.281374,-63.824524,-120.512550,-9.583262,-18.094977
16.200,400.000000,400.291600,0.144000,161.552594,305.038439,-64.621038,-122.015375,-9.702858,-18.320627
16.400,400.000000,400.298844,0.145778,163.543756,308.795171,-65.417503,-123.518068,-9.822448,-18.546256
16.600,400.000000,400.306178,0.147556,165.534797,312.551566,-66.213919,-125.020626,-9.942030,-18.771866
16.800,400.000000,400.313600,0.149333,167.525715,316.307621,-67.010286,-126.523048,-10.061605,-18.997455
17.000,400.000000,400.321111,0.151111,169.516508,320.063331,-67.806603,-128.025332,-10.181172,-19.223023
17.200,400.000000,400.328711,0.152889,171.507175,323.818693,-68.602870,-129.527477,-10.300731,-19.448570
17.400,400.000000,400.336400,0.154667,173.497714,327.573701,-69.399086,-131.029480,-10.420283,-19.674096
17.600,400.000000,400.344178,0.156444,175.488124,331.328353,-70.195250,-132.531341,-10.539827,-19.899601
17.800,400.000000,400.352044,0.158222,177.478403,335.082644,-70.991361,-134.033058,-10.659364,-20.125084
18.000,400.000000,400.360000,0.160000,179.468550,338.836570,-71.787420,-135.534628,-10.778892,-20.350545
18.200,400.000000,400.368044,0.161778,181.458564,342.590127,-72.583426,-137.036051,-10.898412,-20.575984
18.400,400.000000,400.376178,0.163556,183.448443,346.343312,-73.379377,-138.537325,-11.017925,-20.801400
18.600,400.000000,400.384400,0.165333,185.438185,350.096119,-74.175274,-140.038448,-11.137429,-21.026794
18.800,400.000000,400.392711,0.167111,187.427790,353.848546,-74.971116,-141.539418,-11.256924,-21.252165
19.000,400.000000,400.401111,0.168889,189.417254,357.600587,-75.766902,-143.040235,-11.376412,-21.477513
19.200,400.000000,400.409600,0.170667,191.406579,361.352240,-76.562631,-144.540896,-11.495891,-21.702837
19.400,400.000000,400.418178,0.172444,193.395760,365.103500,-77.358304,-146.041400,-11.615361,-21.928138
19.600,400.000000,400.426844,0.174222,195.384798,368.854362,-78.153919,-147.541745,-11.734823,-22.153415
