shell_mode,scenario,band,points,clear_ocean_pct,ambiguous_pct,false_stronger_pct,hidden_false_visible_pct,internal_feature_only_pct,surface_clutter_pct,outside_band_depth_window_pct,weak_no_deep_detection_pct,deep_false_risk_pct,surface_clutter_detected_pct,median_surface_clutter_snr_margin_db,max_surface_clutter_minus_ocean_db,median_ocean_snr_margin_db,min_ocean_snr_margin_db,max_false_minus_ocean_db,max_abs_inferred_depth_error_m,median_layer_count
workbook_mid_shell,clean_ice_control,VHF_60MHz_full_depth_lowDR,241,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,13.09246486595454,11.313733392268531,-1010.3137333922685,0.0,0.0
workbook_mid_shell,clean_ice_control,VHF_60MHz_shallow,241,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,,,,,,0.0
workbook_mid_shell,complex_paper_calibrated,HF_9MHz_full_depth,241,0.0,0.0,1.2448132780082988,0.0,0.0,0.0,0.0,98.7551867219917,1.2448132780082988,0.0,,,-31.000408167486565,-68.9711100032709,81.29898128385447,3727.275072286864,11.0
workbook_mid_shell,complex_paper_calibrated,VHF_60MHz_full_depth_lowDR,241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,-101.53625971260045,-199.57617191713987,223.07794904360082,,11.0
workbook_mid_shell,complex_paper_calibrated,VHF_60MHz_shallow,241,0.0,0.0,0.0,0.0,98.7551867219917,0.0,1.2448132780082988,0.0,0.0,0.0,,,,,,15988.852422968452,11.0
workbook_mid_shell,complex_with_clutter,HF_9MHz_full_depth,241,0.0,0.0,1.2448132780082988,0.0,0.0,0.0,0.0,98.7551867219917,1.2448132780082988,0.0,,,-31.000408167486565,-68.9711100032709,81.29898128385447,3727.275072286864,11.0
workbook_mid_shell,complex_with_clutter,VHF_60MHz_full_depth_lowDR,241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,71.36929460580913,1.8423406259815636,200.30166398959653,-101.53625971260045,-199.57617191713987,223.07794904360082,,11.0
workbook_mid_shell,complex_with_clutter,VHF_60MHz_shallow,241,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,6.842340625981564,,,,,13805.806421824625,11.0
workbook_mid_shell,near_surface_brine,HF_9MHz_full_depth,241,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,7.805770901734578,6.1240870397628475,6.152109573386319,0.0,1.0
workbook_mid_shell,near_surface_brine,VHF_60MHz_full_depth_lowDR,241,35.684647302904565,0.0,0.0,0.0,0.0,0.0,0.0,64.31535269709543,0.0,0.0,,,-1.3524206724738486,-5.699539263138199,29.049560607448566,0.0,1.0
