Column,SpacecraftLon,SpacecraftLat,SpacecraftHgt,NadirHgt,NadirLine,NadirAreoidRad,NadirEllipsoidRad,FirstLon,FirstLat,FirstHgt,FirstLine
3759,7.356030,80.443231,317168.694,-1541,2420,3378700,3376758.974,7.445439,80.453708,-1538.432,2419
3760,7.342974,80.435825,317167.444,-1546,2420,3378700,3376759.832,7.428800,80.445418,-1541.503,2420
3761,7.329848,80.428368,317166.184,-1553,2422,3378702,3376760.697,7.428891,80.437322,-1545.218,2420
3762,7.316830,80.420961,317164.932,-1559,2423,3378703,3376761.557,7.427267,80.430430,-1550.684,2421
3763,7.303743,80.413503,317163.669,-1565,2424,3378704,3376762.423,7.440617,80.421684,-1554.144,2422
3764,7.290763,80.406095,317162.415,-1572,2425,3378704,3376763.284,7.432834,80.414028,-1558.922,2423
3765,7.277714,80.398637,317161.150,-1579,2426,3378705,3376764.152,7.454095,80.404890,-1561.428,2424
3766,7.264772,80.391228,317159.893,-1586,2427,3378705,3376765.014,7.448957,80.397104,-1567.112,2425
3767,7.251761,80.383768,317158.626,-1592,2429,3378707,3376765.883,7.449024,80.389008,-1570.832,2426
3768,7.238857,80.376359,317157.366,-1600,2430,3378707,3376766.747,7.441257,80.381352,-1576.169,2427
3769,7.225884,80.368898,317156.097,-1603,2430,3378708,3376767.617,7.430773,80.373776,-1581.831,2428
3770,7.213017,80.361488,317154.835,-1610,2432,3378709,3376768.483,7.407208,80.366899,-1587.188,2428
3771,7.200082,80.354026,317153.563,-1614,2432,3378710,3376769.354,7.420479,80.358152,-1590.710,2429
3772,7.187252,80.346615,317152.299,-1618,2433,3378710,3376770.221,7.383791,80.351924,-1596.604,2430
3773,7.174355,80.339153,317151.024,-1621,2433,3378711,3376771.094,7.378643,80.344087,-1601.076,2431
3774,7.161563,80.331740,317149.758,-1624,2434,3378712,3376771.962,7.384106,80.335781,-1604.827,2432
3775,7.148703,80.324277,317148.481,-1625,2434,3378712,3376772.837,7.336923,80.330016,-1610.168,2432
3776,7.135947,80.316864,317147.212,-1626,2434,3378712,3376773.706,7.329283,80.322358,-1613.511,2433
3777,7.123124,80.309400,317145.932,-1627,2434,3378714,3376774.582,7.321566,80.314649,-1615.415,2433
3778,7.110406,80.301986,317144.661,-1627,2434,3378715,3376775.453,7.217359,80.302150,-1622.549,2434
3779,7.097620,80.294521,317143.379,-1627,2434,3378716,3376776.330,7.204503,80.294696,-1622.314,2434
3780,7.084939,80.287106,317142.105,-1626,2434,3378716,3376777.202,7.204844,80.286650,-1621.705,2434
3781,7.072190,80.279640,317140.821,-1624,2434,3378717,3376778.081,7.152403,80.287524,-1623.491,2434
3782,7.059545,80.272224,317139.545,-1625,2434,3378718,3376778.955,7.157561,80.271791,-1623.010,2434
3783,7.046833,80.264758,317138.258,-1626,2434,3378719,3376779.835,7.102970,80.266380,-1623.315,2434
3784,7.034224,80.257341,317136.979,-1626,2434,3378719,3376780.710,7.145981,80.257313,-1620.051,2433
3785,7.021548,80.249874,317135.690,-1627,2434,3378720,3376781.591,7.143307,80.255750,-1620.346,2433
3786,7.008976,80.242456,317134.409,-1626,2434,3378720,3376782.468,7.144052,80.241298,-1618.831,2433
3787,6.996337,80.234988,317133.118,-1627,2434,3378722,3376783.351,7.125306,80.233072,-1618.581,2433
3788,6.983800,80.227569,317131.834,-1625,2434,3378722,3376784.228,7.121301,80.226307,-1617.604,2433
3789,6.971198,80.220100,317130.540,-1625,2434,3378723,3376785.113,7.121613,80.218210,-1617.563,2433
3790,6.958697,80.212681,317129.254,-1625,2434,3378724,3376785.992,7.074817,80.218868,-1619.596,2433
3791,6.946130,80.205211,317127.958,-1627,2434,3378725,3376786.877,7.071566,80.213077,-1620.060,2433
3792,6.933666,80.197790,317126.669,-1631,2435,3378725,3376787.758,7.067603,80.206310,-1622.307,2434
