position_km,parabolic_altitude_km,parabolic_vertical_speed_km_s,hf_doppler_hz,vhf_doppler_hz,hf_abs_doppler_hz,vhf_abs_doppler_hz
-50.800,402.867378,-0.451555556,56.855079,378.654828,56.855079,378.654828
-50.600,402.844844,-0.449777778,56.636321,377.197896,56.636321,377.197896
-50.400,402.822400,-0.448000000,56.417504,375.740576,56.417504,375.740576
-50.200,402.800044,-0.446222222,56.198629,374.282868,56.198629,374.282868
-50.000,402.777778,-0.444444444,55.979696,372.824774,55.979696,372.824774
-49.800,402.755600,-0.442666667,55.760705,371.366295,55.760705,371.366295
-49.600,402.733511,-0.440888889,55.541657,369.907433,55.541657,369.907433
-49.400,402.711511,-0.439111111,55.322551,368.448189,55.322551,368.448189
-49.200,402.689600,-0.437333333,55.103388,366.988563,55.103388,366.988563
-49.000,402.667778,-0.435555556,54.884168,365.528559,54.884168,365.528559
-48.800,402.646044,-0.433777778,54.664891,364.068176,54.664891,364.068176
-48.600,402.624400,-0.432000000,54.445558,362.607416,54.445558,362.607416
-48.400,402.602844,-0.430222222,54.226168,361.146281,54.226168,361.146281
-48.200,402.581378,-0.428444444,54.006722,359.684771,54.006722,359.684771
-48.000,402.560000,-0.426666667,53.787221,358.222889,53.787221,358.222889
-47.800,402.538711,-0.424888889,53.567663,356.760635,53.567663,356.760635
-47.600,402.517511,-0.423111111,53.348050,355.298011,53.348050,355.298011
-47.400,402.496400,-0.421333333,53.128381,353.835019,53.128381,353.835019
-47.200,402.475378,-0.419555556,52.908657,352.371659,52.908657,352.371659
-47.000,402.454444,-0.417777778,52.688879,350.907932,52.688879,350.907932
-46.800,402.433600,-0.416000000,52.469045,349.443841,52.469045,349.443841
-46.600,402.412844,-0.414222222,52.249157,347.979387,52.249157,347.979387
-46.400,402.392178,-0.412444444,52.029215,346.514570,52.029215,346.514570
-46.200,402.371600,-0.410666667,51.809218,345.049393,51.809218,345.049393
-46.000,402.351111,-0.408888889,51.589168,343.583857,51.589168,343.583857
-45.800,402.330711,-0.407111111,51.369063,342.117963,51.369063,342.117963
-45.600,402.310400,-0.405333333,51.148906,340.651712,51.148906,340.651712
-45.400,402.290178,-0.403555556,50.928695,339.185106,50.928695,339.185106
-45.200,402.270044,-0.401777778,50.708430,337.718146,50.708430,337.718146
-45.000,402.250000,-0.400000000,50.488113,336.250833,50.488113,336.250833
-44.800,402.230044,-0.398222222,50.267743,334.783170,50.267743,334.783170
-44.600,402.210178,-0.396444444,50.047321,333.315156,50.047321,333.315156
-44.400,402.190400,-0.394666667,49.826846,331.846795,49.826846,331.846795
-44.200,402.170711,-0.392888889,49.606319,330.378086,49.606319,330.378086
-44.000,402.151111,-0.391111111,49.385741,328.909032,49.385741,328.909032
-43.800,402.131600,-0.389333333,49.165110,327.439634,49.165110,327.439634
-43.600,402.112178,-0.387555556,48.944428,325.969893,48.944428,325.969893
-43.400,402.092844,-0.385777778,48.723695,324.499811,48.723695,324.499811
-43.200,402.073600,-0.384000000,48.502911,323.029388,48.502911,323.029388
-43.000,402.054444,-0.382222222,48.282076,321.558627,48.282076,321.558627
-42.800,402.035378,-0.380444444,48.061191,320.087529,48.061191,320.087529
-42.600,402.016400,-0.378666667,47.840255,318.616095,47.840255,318.616095
-42.400,401.997511,-0.376888889,47.619268,317.144327,47.619268,317.144327
-42.200,401.978711,-0.375111111,47.398232,315.672226,47.398232,315.672226
-42.000,401.960000,-0.373333333,47.177146,314.199793,47.177146,314.199793
-41.800,401.941378,-0.371555556,46.956011,312.727030,46.956011,312.727030
-41.600,401.922844,-0.369777778,46.734826,311.253938,46.734826,311.253938
-41.400,401.904400,-0.368000000,46.513591,309.780519,46.513591,309.780519
-41.200,401.886044,-0.366222222,46.292308,308.306774,46.292308,308.306774
-41.000,401.867778,-0.364444444,46.070977,306.832705,46.070977,306.832705
-40.800,401.849600,-0.362666667,45.849596,305.358312,45.849596,305.358312
-40.600,401.831511,-0.360888889,45.628168,303.883598,45.628168,303.883598
-40.400,401.813511,-0.359111111,45.406691,302.408564,45.406691,302.408564
-40.200,401.795600,-0.357333333,45.185167,300.933211,45.185167,300.933211
-40.000,401.777778,-0.355555556,44.963595,299.457540,44.963595,299.457540
-39.800,401.760044,-0.353777778,44.741975,297.981554,44.741975,297.981554
-39.600,401.742400,-0.352000000,44.520308,296.505253,44.520308,296.505253
-39.400,401.724844,-0.350222222,44.298594,295.028639,44.298594,295.028639
-39.200,401.707378,-0.348444444,44.076834,293.551713,44.076834,293.551713
-39.000,401.690000,-0.346666667,43.855027,292.074478,43.855027,292.074478
-38.800,401.672711,-0.344888889,43.633173,290.596933,43.633173,290.596933
-38.600,401.655511,-0.343111111,43.411273,289.119081,43.411273,289.119081
-38.400,401.638400,-0.341333333,43.189328,287.640924,43.189328,287.640924
